type,indicator,classification,notes,references
domain,365prestigiouscoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365pricelesscoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365procoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365profitcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365profxmarket[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365promisecoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365propellingcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365prospectcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365prosperitycoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365risecoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365risingcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365safecoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365securedcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365smartcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365stackcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365standardcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365sustainablecoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365sustaincoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365teamcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365techcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365tecknetcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365topcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365tpcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365tradecoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365tradingcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365trendingcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365trendycoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365tslcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365unitcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365unitedcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365uprisecoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365webcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365worldcoin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,spartan-trade[.]com,scam,Fake trading company website,https://www.scamadviser.com/check-website/spartan-trade.com
domain,networkfsi[.]com,scam,Fake trading company website,https://www.forexbrokerz.com/brokers/networkfsi-review
ip,45[.]63[.]119[.]177,scam,IP hosting the Fake “Meta” coin domains,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
