type,indicator,classification,notes
domain,sexe-model.pro,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sante-gouv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvel-assurance.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,portail-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,moncompteenligne.online,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,miseajourinfos.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macartevitale-renouv.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macarte-info.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ma-demandeameli.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infovalidationsecur.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infosecu-macarte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-cavital.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,form-shortype-vitea.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartesvit-infos.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,bnp-parisbas-secure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aidesfacturation.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,accueil-renouv.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,portail-securitecarte.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,paypal-security-info.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,nflix-srvapp.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflixsingup.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infos-vitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-vitale-aide.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-auth-secure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,actualisationdonne.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,abonnement-statut.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-assurance-maladie.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-amli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,remboursement-edf.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,monespace-netsecure.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mes-droits-sante.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,connexion-html-panel-secu.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assur-amelie.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-renouvellementcartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-monespacecartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-contact.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amazon-client.eu,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verification-infosante.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,statut-abonnement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-carte-gouv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,france-aide-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,facturations-netfiix.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,credltdunord.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-macarte-vitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,annulationcm.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelicarte-vitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-securite.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-infoscartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-renouvellement.online,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-secu.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-netflix.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securesms.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renovation-infosante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,net-mon-compte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mon-support-vitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,edf-monespace.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,client-abonnement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-formulairecartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,rubriquefacturation-netfix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,procedure-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,particuliers-bnpparibas.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-account.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mon-assurance-vitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-vitale-renouvellement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,compteteam-support.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assistance-clientfr.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-sante.xyz,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-vital.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
